gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,avg_monthly_spend,services_count,is_new_customer,high_value_customer,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1,0,0,0,35,0,0,49.2,1701.65,47.268055555555556,1,0,0,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,15,1,0,75.1,1151.55,71.971875,3,0,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,13,0,0,40.55,590.35,42.167857142857144,3,0,0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True
0,0,1,0,26,1,1,73.5,1905.7,70.58148148148149,2,0,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False
1,0,1,1,1,1,0,44.55,44.55,22.275,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,66,1,1,79.5,5196.1,77.55373134328359,3,0,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False
0,0,0,0,1,1,0,19.8,19.8,9.9,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
0,0,1,0,40,1,0,56.6,2379.1,58.02682926829268,2,0,0,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
0,0,1,0,65,1,1,59.8,3808.2,57.699999999999996,3,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False
0,0,0,0,60,1,0,80.55,4847.05,79.45983606557377,3,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,1,0,0,5,1,0,59.9,287.85,47.975,4,1,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
0,0,1,1,5,1,1,49.4,232.55,38.75833333333333,3,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0,0,0,0,2,1,0,50.95,123.05,41.016666666666666,3,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1,0,1,1,30,1,0,67.6,2000.2,64.5225806451613,4,0,0,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
1,0,1,0,36,1,1,95.4,3474.2,93.89729729729729,2,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,55,1,1,69.05,3842.6,68.61785714285715,2,0,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
0,0,0,0,31,1,1,84.75,2613.4,81.66875,3,0,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
0,1,1,1,28,0,1,35.9,973.65,33.574137931034485,1,0,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
1,0,0,0,16,1,0,18.95,326.8,19.223529411764705,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,0,0,6,1,0,20.15,130.5,18.642857142857142,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
1,1,1,0,27,1,1,85.9,2220.1,79.28928571428571,3,0,0,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False
1,0,0,0,58,1,1,25.3,1474.35,24.988983050847455,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False
1,0,1,1,72,1,1,104.9,7732.65,105.92671232876712,4,0,1,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False
0,0,0,0,28,0,1,35.75,961.4,33.15172413793103,2,0,0,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
1,0,1,1,40,1,1,85.05,3355.65,81.84512195121951,2,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False
1,0,0,0,1,1,0,20.5,20.5,10.25,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
0,0,0,0,5,1,1,80.0,412.5,68.75,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
0,0,0,0,1,1,1,69.2,69.2,34.6,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,0,1,12,1,1,105.3,1275.65,98.12692307692308,2,1,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,0,0,5,1,1,96.1,453.4,75.56666666666666,3,1,1,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False
1,0,1,0,71,1,1,86.1,6045.9,83.97083333333333,4,0,0,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False
1,0,0,0,3,1,1,76.95,228.4,57.1,2,1,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,30,1,0,19.65,655.85,21.156451612903226,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False
0,0,1,0,25,1,1,20.2,507.9,19.534615384615385,3,0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False
1,0,1,1,52,1,0,24.55,1331.05,25.114150943396226,3,0,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True
0,1,0,0,46,1,1,110.0,4874.8,103.71914893617021,3,0,1,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False
1,0,0,0,9,1,1,70.5,597.9,59.79,2,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
0,0,1,0,19,1,1,86.85,1564.4,78.22,2,0,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
0,0,0,0,12,1,1,49.4,611.65,47.05,2,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,1,1,0,45,1,1,98.7,4525.8,98.38695652173914,3,0,1,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False
0,0,1,1,36,1,1,104.5,3684.95,99.59324324324324,3,0,1,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False
1,0,0,0,38,1,1,95.1,3691.2,94.64615384615384,2,0,1,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
1,0,1,1,1,1,0,19.2,19.2,9.6,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True
1,0,1,0,10,1,1,98.5,1037.75,94.3409090909091,2,1,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False
1,0,1,1,13,1,0,44.8,559.2,39.94285714285714,2,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0,0,0,18,1,1,82.0,1425.45,75.02368421052631,3,0,0,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False
0,0,1,0,37,0,0,45.4,1593.1,41.92368421052631,3,0,0,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
1,0,0,1,5,1,0,20.35,122.0,20.333333333333332,3,1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False
1,0,0,0,11,1,0,74.95,815.5,67.95833333333333,2,1,0,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False
1,0,0,1,64,1,1,99.15,6171.2,94.94153846153846,3,0,1,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
1,0,0,0,1,1,0,55.55,55.55,27.775,2,1,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1,1,1,0,37,1,1,92.5,3473.4,91.40526315789474,2,0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False
0,0,1,1,48,1,1,105.25,4997.5,101.98979591836735,3,0,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False
